




2026-04-21T00:00:00,964+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BGP] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7BD0FDED79630DE697EE9BC8E7575FBC, Category : NTP_SERVERS_VERIFY - User verifying NTP servers
2026-04-21T00:55:00,983+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BLf] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 4CC8041D568D1302BDA3E1C9BDC8AF04, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:00:00,989+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000BM6] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 14A5B73A0F78562BCD723726A999A158, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:05:00,994+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000BMb] - UserId : casa, UserName : casa, AuthSource : unknown, Session : EE7DB7F2B9D267F3A547CE799366A9E1, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:10:00,963+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000BN7] - UserId : casa, UserName : casa, AuthSource : unknown, Session : AF0FBF9365D519FD8F13B5BAA738E383, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:15:00,997+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000BNZ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 4A834CB21E5497146F70FF1A66D64DDE, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:20:00,980+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BO3] - UserId : casa, UserName : casa, AuthSource : unknown, Session : AA9DAFE7A44706D5D08E5CCD3EB0038D, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:25:01,006+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BOV] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 0AFF76EF94F4EFE92A7E31D763FE835C, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:30:00,931+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BOw] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 195ABB9F783A339D7310CA3235E42C0A, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:35:00,987+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000BPP] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 2B284DF620CC0C5EF7C85901D39B83FC, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:40:00,932+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000BPv] - UserId : casa, UserName : casa, AuthSource : unknown, Session : AE4A798202C0FFD1EFFE97BDC68AABD0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:45:00,939+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000BQN] - UserId : casa, UserName : casa, AuthSource : unknown, Session : A679C51A411B6208A4B821523DBCB6D1, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:50:01,000+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000BQr] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 009826217FBC0ED4E7784D2DDAE3941E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T01:55:00,990+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000BRJ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 9B21559CE934D4E69BAF10A3497F22B9, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:00:00,939+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000BRk] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 567E6B1719E09C182095042714DD49EA, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:05:00,948+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BSF] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 3E54DA62D4F4CFD9CAF259B1E6A77612, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:10:00,993+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BSl] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7E6B0867D09B5177D41512521CC229A2, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:15:01,019+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BTD] - UserId : casa, UserName : casa, AuthSource : unknown, Session : ADA86FF1B128C04F259679E7D20447D6, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:20:01,001+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BTh] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 6B329C6BCC9DFA413F6AF3759D6CA57E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:25:00,968+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000BU9] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 633F4402FBA55BC98F0A165B0906432D, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:30:00,987+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000BUa] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 5D4994221D09F7FC40BE802DC65FFF8A, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:35:00,976+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000BV5] - UserId : casa, UserName : casa, AuthSource : unknown, Session : D9E0224E1737BDE198C487897DB4D175, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:40:00,977+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BVb] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 31A4AFCE996AA72C322FF903C599E9DC, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:45:00,983+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000BW3] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 589332128B7CC1F0A377136156DE6246, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:50:00,976+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000BWX] - UserId : casa, UserName : casa, AuthSource : unknown, Session : A0E8E00BF315DB7EF388F2BF46E71825, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T02:55:00,963+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BWz] - UserId : casa, UserName : casa, AuthSource : unknown, Session : D5A6241CA40DE7DA77B494DF17ACAB2F, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:00:01,003+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BXQ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : AB8E4F868A2EC4C9BAF7FB96795F8FEC, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:05:01,026+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000BXv] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 12CEA7EE918700D2D9FA856174BF225E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:10:00,998+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BYR] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 76260F03FF94F65C7C674469896BBF07, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:15:01,004+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BYt] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 9C8BD833A4E524A4F3B351EE9619F5E0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:20:01,016+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000BZN] - UserId : casa, UserName : casa, AuthSource : unknown, Session : E18F3D1BE4557A670006717588F7054D, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:25:00,972+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BZp] - UserId : casa, UserName : casa, AuthSource : unknown, Session : CE166FAC0DA149B2D1629458B5C15169, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:30:01,001+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BaG] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 47FF1CCD5A78E08307CBCAA5AEB07BED, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:35:01,002+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000Bal] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C368677D15A656C72D501A83BA345AA5, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:40:00,958+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000BbH] - UserId : casa, UserName : casa, AuthSource : unknown, Session : D8C5F89B48623B14FBF2153AA299E192, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:45:00,944+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000Bbj] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 82F644451C0F5BA31E4DCA367F31F520, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:50:01,003+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BcD] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 319AE8E7FBE54829C5A1D50BF72F4AA8, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T03:55:00,960+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bcf] - UserId : casa, UserName : casa, AuthSource : unknown, Session : ADE7C6FAA38B8E00195FA17C6853D851, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:00:00,961+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bd6] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 30C0549AE62D1849BCD731E37317F31E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:05:00,951+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000Bdb] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 616A44815AC75430CE43897DFCBB1DA9, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:10:00,983+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Be7] - UserId : casa, UserName : casa, AuthSource : unknown, Session : FD87122BD7A02E2291A39C0385E262D1, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:15:01,023+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BeZ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 680714112ED2823CE821A97DEBC671A6, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:20:01,012+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000Bf3] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 5C5A424061BE7AAB94BDDBD545B457EA, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:25:00,984+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BfV] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C36AC744D5AE815167F221E4CE747315, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:30:00,947+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000Bfw] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 6C61637B00373B167549427DA8A43CF9, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:35:00,998+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BgR] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7B18ADF7BAFCEC69DBE774DE618374C8, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:40:01,003+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000Bgx] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C72CD8501ED10AB046B869A758981B71, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:45:01,001+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000BhP] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C790D4AF2DC3F93DD042E244AB12682B, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:50:01,010+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000Bht] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 94ECD82C8549B738D0FCE0B289DFEAE3, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T04:55:00,970+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BiL] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 88D5EDE71368FFD42C157A97F8A2B2C0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:00:01,001+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bim] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 9730C6313509E318C6D9D9AEF60D526D, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:05:01,009+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000BjH] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 6A0973B5637AC09D8E482E49947DEFE9, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:10:00,980+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bjn] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 56DED3804578FA082729AB9BF7AE0639, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:15:00,967+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BkF] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 1C8F4724A470160DD4D7FC0723E8C0B3, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:20:01,020+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000Bkj] - UserId : casa, UserName : casa, AuthSource : unknown, Session : AB749FEDF665A1D4EE0FA2817AA05BEA, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:25:00,969+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000BlB] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 5B8F46E47827FB7F30915DA54C07FC86, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:30:00,955+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000Blc] - UserId : casa, UserName : casa, AuthSource : unknown, Session : AF46EDFDF87F823A1A9B8282525F3063, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:35:00,939+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000Bm7] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C72701217BE32113F55B21E69869B54A, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:40:01,012+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000Bmd] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 09ED930366273E48E583962DF28292FD, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:45:01,001+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000Bn5] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 29DDE3777D8CA65647C7B7638150060C, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:50:00,990+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BnZ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 999843893E3C76B4768F7A3D32EF3D30, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T05:55:00,968+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bo1] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7AEB257C3171B2A833D1524AD60FE1A7, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:00:00,988+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BoS] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 990B50B3D6297BE10162E0C1D5BEAA84, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:05:00,995+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000Box] - UserId : casa, UserName : casa, AuthSource : unknown, Session : E810FF3B441A2C3AD3F1DECB6D104252, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:10:00,984+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BpT] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 54394B0AFE69FD8C84E34127B283FC96, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:15:01,018+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bpv] - UserId : casa, UserName : casa, AuthSource : unknown, Session : DE204F257CF69904248A4BC61516786E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:20:00,988+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BqP] - UserId : casa, UserName : casa, AuthSource : unknown, Session : FE57BFF172ED77D1997FB1404A86966C, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:25:00,954+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000Bqr] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 4E9DC2EB4CCDA38DB78856A44E61A5C7, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:30:00,956+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000BrI] - UserId : casa, UserName : casa, AuthSource : unknown, Session : BC9A00D052D20DF21DE78AADCF896B53, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:35:00,964+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000Brn] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7EE414EB5DFC3B47ABA402FFA1785BC0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:40:00,981+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000BsJ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : DD6A68B12711E800F6E46F73DAE49EC6, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:45:00,937+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000Bsl] - UserId : casa, UserName : casa, AuthSource : unknown, Session : B5011C469D1582936D5D0DB10A323F2A, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:50:00,928+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000BtF] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 09BEE700ECCD4E48EEC6ADD8F2745D6A, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T06:55:00,983+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bth] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 9B984B01B908AC5C40C527742EFB55C2, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:00:00,953+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000Bu8] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 994A4126BC2C0C5BB04E4F6436218F34, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:05:00,965+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000Bud] - UserId : casa, UserName : casa, AuthSource : unknown, Session : D29DA6C046815ABD65723FC0C69D4C73, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:10:00,975+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000Bv9] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 77E62903D954051A798BE20B2EE9CF0E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:15:00,992+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000Bvb] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7FFCAC346D9988A4C2BDAA718D5EDF14, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:20:00,994+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000Bw5] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 5E1D90F3D414D9611EE5670C5177B17C, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:25:00,989+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000BwX] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7A9CF3D13364A902D0169403708F7870, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:30:00,996+0000  INFO [ajp-nio-127.0.0.1-8011-exec-10] [R0000Bwy] - UserId : casa, UserName : casa, AuthSource : unknown, Session : B16708642DB89A77003897032FE08D15, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:35:00,948+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BxT] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 4060E28E4594F803DB340E4BCB9918D0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:40:00,954+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000Bxz] - UserId : casa, UserName : casa, AuthSource : unknown, Session : B869569EF02D6A5F05E7BECB37AFC260, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:45:01,002+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000ByQ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : DAA8043AC554ED9658272D23708162E7, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:50:01,010+0000  INFO [ajp-nio-127.0.0.1-8011-exec-6] [R0000Byr] - UserId : casa, UserName : casa, AuthSource : unknown, Session : D7E6E8CC1B14DEBBC4B74A6542F9C61B, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T07:55:00,962+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BzJ] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C421635E92BCAE67B2F2E5EB965CC7C7, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T08:00:00,961+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000Bzk] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 6DAEE121D9CC5DEDC5E9265CF84D3A5A, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T08:05:01,025+0000  INFO [ajp-nio-127.0.0.1-8011-exec-8] [R0000C0F] - UserId : casa, UserName : casa, AuthSource : unknown, Session : BF160A5C40D0BD4D77D7CB9DC6487B3E, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T08:10:01,031+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000C0l] - UserId : casa, UserName : casa, AuthSource : unknown, Session : FB915414D921A11BFF57E3D77E3A5B18, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T08:15:01,020+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000C1D] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 0C0F6590374FFB44FB5FF29EDE0D1EE0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




